,ROC-AUC,Accuracy,Precision,Recall,F1-Score
ExtraTrees,0.7341362126245847,0.6732223903177005,0.7093023255813954,0.6777777777777778,0.6931818181818182
LightGBM,0.7295865633074935,0.6580937972768532,0.675392670157068,0.7166666666666667,0.6954177897574124
CatBoost,0.7295035068290883,0.6611195158850227,0.6761658031088082,0.725,0.6997319034852547
XGBoost,0.7285622000738279,0.6580937972768532,0.6726804123711341,0.725,0.6978609625668449
HistGradientBoosting,0.7210409745293467,0.6626323751891074,0.672544080604534,0.7416666666666667,0.7054161162483488
